Date,Cutoff,Index_Symbol,Index_Name,Index_Type,Index_Currency,Index_Close,Index_Component_Count,Index_Mcap_Units,Index_Divisor,Internal_Number,ISIN,SEDOL,RIC,CUSIP,Instrument_Name,Country,Currency,Exchange,ICB,Shares,Free_Float,Capfactor,Weightfactor,Close_unadjusted_local,FX_local_to_Index_Currency,Mcap_Units_local,Mcap_Units_Index_Currency,Weight,ADTV_3M_EUR,Liquidity Screen,Liquidity Test
3/18/2019,2/28/2019,SDGP,STXG18SD100 EUR P,Price,EUR,2802.77,100,1014191272,361853,79087,GB0007908733,790873,SSE.L,,SCOTTISH & SOUTHERN ENERGY,GB,GBP,LSE,7535,,,1,1400918,12.25,1.1660449,17161246,20010783,1.97308,38762904.29,96907260.73,PASS
3/18/2019,2/28/2019,SDGP,STXG18SD100 EUR P,Price,EUR,2802.77,100,1014191272,361853,662460,AU000000NAB4,6624608,NAB.AX,,National Australia Bank Ltd.,AU,AUD,ASX,8355,,,1,1208710,25.12,0.6261938,30362795,19012994,1.8747,94046601.11,235116502.8,PASS
3/18/2019,2/28/2019,SDGP,STXG18SD100 EUR P,Price,EUR,2802.77,100,1014191272,361853,609128,AU000000BEN6,6091280,BEN.AX,,Bendigo & Adelaide Bank Ltd.,AU,AUD,ASX,8355,,,1,2853295,9.75,0.6261938,27819626,17420477,1.71767,12024722.37,30061805.93,PASS
3/18/2019,2/28/2019,SDGP,STXG18SD100 EUR P,Price,EUR,2802.77,100,1014191272,361853,407683,IT0000072618,4076836,ISP.MI,,INTESA SANPAOLO,IT,EUR,Milan,8355,,,1,7767625,2.233,1,17345107,17345107,1.71024,246925338,617313345,PASS
3/18/2019,2/28/2019,SDGP,STXG18SD100 EUR P,Price,EUR,2802.77,100,1014191272,361853,616400,HK0008011667,6574071,0008.HK,,PCCW,HK,HKD,Hong Kong Stock Exchange,6535,,,1,30527361,4.71,0.1123608,143783870,16155672,1.59296,4577534.067,11443835.17,NO
3/18/2019,2/28/2019,SDGP,STXG18SD100 EUR P,Price,EUR,2802.77,100,1014191272,361853,481775,FR0000130809,5966516,SOGN.PA,,GRP SOCIETE GENERALE,FR,EUR,EURONEXT (FR),8355,,,1,542162,27.97,1,15164271,15164271,1.49521,141483071.9,353707679.8,PASS
3/18/2019,2/28/2019,SDGP,STXG18SD100 EUR P,Price,EUR,2802.77,100,1014191272,361853,80341,GB00B03MM408,B03MM40,RDSb.L,,ROYAL DUTCH SHELL B,GB,GBP,LSE,537,,,1,530943,24.3,1.1660449,12901915,15044212,1.48337,123761464.2,309403660.5,PASS
3/18/2019,2/28/2019,SDGP,STXG18SD100 EUR P,Price,EUR,2802.77,100,1014191272,361853,681075,SG1T75931496,B02PY22,STEL.SI,,Singapore Telecommunications L,SG,SGD,Singapore Exchange,6575,,,1,7340874,3.02,0.6524436,22169439,14464309,1.42619,34063799.39,85159498.48,PASS
3/18/2019,2/28/2019,SDGP,STXG18SD100 EUR P,Price,EUR,2802.77,100,1014191272,361853,698899,BMG988031446,6586537,0551.HK,,Yue Yuen Industrial (Holdings),HK,HKD,Hong Kong Stock Exchange,3765,,,1,4634427,27.15,0.1123608,125824693,14137763,1.39399,5916865.817,14792164.54,PASS
3/18/2019,2/28/2019,SDGP,STXG18SD100 EUR P,Price,EUR,2802.77,100,1014191272,361853,478511,CH0244767585,BRJL176,UBSG.S,,UBS GROUP,CH,CHF,SIX Swiss Exchange,8355,,,1,1262518,12.485,0.8817176,15762537,13898106,1.37036,143306840.5,358267101.3,PASS
3/18/2019,2/28/2019,SDGP,STXG18SD100 EUR P,Price,EUR,2802.77,100,1014191272,361853,685085,AU000000SGP0,6850856,SGP.AX,,Stockland,AU,AUD,ASX,8673,,,1,5775780,3.84,0.6261938,22178995,13888349,1.3694,16567147.31,41417868.28,PASS
3/18/2019,2/28/2019,SDGP,STXG18SD100 EUR P,Price,EUR,2802.77,100,1014191272,361853,24282,GB00BDR05C01,BDR05C0,NG.L,,NATIONAL GRID,GB,GBP,LSE,7575,,,1,1335742,8.854,1.1660449,11826660,13790416,1.35975,63500252.84,158750632.1,PASS
3/18/2019,2/28/2019,SDGP,STXG18SD100 EUR P,Price,EUR,2802.77,100,1014191272,361853,B05NXN,KYG9828G1082,B05NXN7,0868.HK,,XINYI GLASS HOLDINGS,HK,HKD,Hong Kong Stock Exchange,3355,,,1,13157773,9.31,0.1123608,122498867,13764070,1.35715,8269048.472,20672621.18,PASS
3/18/2019,2/28/2019,SDGP,STXG18SD100 EUR P,Price,EUR,2802.77,100,1014191272,361853,491134,FR0013326246,BFYM460,URW.AS,,UNIBAIL-RODAMCO-WESTFIELD,FR,EUR,EURONEXT (NL),8672,,,1,90960,149.9,1,13634904,13634904,1.34441,162476867.7,406192169.3,PASS
3/18/2019,2/28/2019,SDGP,STXG18SD100 EUR P,Price,EUR,2802.77,100,1014191272,361853,738006,DE0005408116,7380062,ARLG.DE,,AAREAL BANK,DE,EUR,XETRA (DE),8779,,,1,469399,28.61,1,13429505,13429505,1.32416,8015456.972,20038642.43,PASS
3/18/2019,2/28/2019,SDGP,STXG18SD100 EUR P,Price,EUR,2802.77,100,1014191272,361853,606558,AU000000ANZ3,6065586,ANZ.AX,,Australia & New Zealand Bankin,AU,AUD,ASX,8355,,,1,810916,26.41,0.6261938,21416292,13410749,1.32231,95713981.97,239284954.9,PASS
3/18/2019,2/28/2019,SDGP,STXG18SD100 EUR P,Price,EUR,2802.77,100,1014191272,361853,37178,GB0009252882,925288,GSK.L,,GLAXOSMITHKLINE,GB,GBP,LSE,4577,,,1,747149,15.126,1.1660449,11301376,13177912,1.29935,150274406.7,375686016.8,PASS
3/18/2019,2/28/2019,SDGP,STXG18SD100 EUR P,Price,EUR,2802.77,100,1014191272,361853,608625,AU000000FMG4,6086253,FMG.AX,,Fortescue Metals Group Ltd.,AU,AUD,ASX,1757,,,1,3052699,6.83,0.6261938,20849934,13056100,1.28734,60459566.23,151148915.6,PASS
3/18/2019,2/28/2019,SDGP,STXG18SD100 EUR P,Price,EUR,2802.77,100,1014191272,361853,615252,NZCENE0001S6,6152529,CEN.NZ,,Contact Energy Ltd.,NZ,NZD,NZX,7537,,,1,3295334,6.47,0.6045769,21320811,12890070,1.27097,4805873.633,12014684.08,NO
3/18/2019,2/28/2019,SDGP,STXG18SD100 EUR P,Price,EUR,2802.77,100,1014191272,361853,643532,HK0006000050,6435327,0006.HK,,POWER ASSETS HOLDINGS LTD,HK,HKD,Hong Kong Stock Exchange,7535,,,1,2060304,55.15,0.1123608,113625766,12767082,1.25884,29137248.22,72843120.55,PASS
3/18/2019,2/28/2019,SDGP,STXG18SD100 EUR P,Price,EUR,2802.77,100,1014191272,361853,656387,SG1M77906915,6563875,AEMN.SI,,Ascendas Real Estate Investmen,SG,SGD,Singapore Exchange,8671,,,1,6891565,2.83,0.6524436,19503129,12724692,1.25466,20916527.91,52291319.78,PASS
3/18/2019,2/28/2019,SDGP,STXG18SD100 EUR P,Price,EUR,2802.77,100,1014191272,361853,556582,FR0000121964,7582556,LOIM.PA,,KLEPIERRE,FR,EUR,EURONEXT (FR),8672,,,1,397655,31.28,1,12438648,12438648,1.22646,20658481.5,51646203.75,PASS
3/18/2019,2/28/2019,SDGP,STXG18SD100 EUR P,Price,EUR,2802.77,100,1014191272,361853,12715,GB0002634946,263494,BAES.L,,BAE SYSTEMS,GB,GBP,LSE,2717,,,1,2129195,4.863,1.1660449,10354275,12073550,1.19046,43744742.17,109361855.4,PASS
3/18/2019,2/28/2019,SDGP,STXG18SD100 EUR P,Price,EUR,2802.77,100,1014191272,361853,B00D9P,BE0003810273,B00D9P6,PROX.BR,,PROXIMUS,BE,EUR,EURONEXT (BE),6535,,,1,488390,24.57,1,11999742,11999742,1.18318,15196666.55,37991666.38,PASS
3/18/2019,2/28/2019,SDGP,STXG18SD100 EUR P,Price,EUR,2802.77,100,1014191272,361853,64623,GB00B39J2M42,B39J2M4,UU.L,,UNITED UTILITIES GRP,GB,GBP,LSE,7577,,,1,1171964,8.696,1.1660449,10191399,11883629,1.17173,18358067.55,45895168.88,PASS
3/18/2019,2/28/2019,SDGP,STXG18SD100 EUR P,Price,EUR,2802.77,100,1014191272,361853,626551,SG1L01001701,6175203,DBSM.SI,,DBS Group Holdings Ltd.,SG,SGD,Singapore Exchange,8355,,,1,718175,25.24,0.6524436,18126737,11826674,1.16612,60398565.9,150996414.8,PASS
